benchmark,database,time_seconds,avg_per_query_ms,notes
insert_10k,PostgreSQL,8.086,0.809,row by row insert
insert_10k,MongoDB,0.189,0.019,insert_many batch
insert_10k,Redis,0.384,0.038,pipeline batch
lookup_1000,PostgreSQL,1.088,1.088,primary key index
lookup_1000,MongoDB,0.969,0.969,order_id index added
lookup_1000,Redis,0.501,0.501,in-memory hash lookup
filter_100,PostgreSQL,0.48,4.8,product index added
filter_100,MongoDB,0.848,8.48,product_1 index
filter_100,Redis,27.167,271.67,sampled 500 of 10000 keys no native filter
aggregate_10,PostgreSQL,0.116,11.6,GROUP BY with HashAggregate
aggregate_10,MongoDB,0.32,32.0,aggregation pipeline group and sort
aggregate_10,Redis,,,not applicable - no native aggregation
